Provinsi,Jenjang_Pendidikan,Tahun_Dari,Tahun_Ke,Nilai_Awal,Nilai_Akhir,Perubahan_Absolut,Perubahan_Persen,Status_Trend
DKI JAKARTA,SMA,2019,2020,84.35,85.67,1.32,1.56,Naik
DKI JAKARTA,SMA,2020,2021,85.67,84.98,-0.69,-0.81,Turun
DKI JAKARTA,SMA,2021,2022,84.98,87.71,2.73,3.21,Naik
DKI JAKARTA,SMA,2022,2023,87.71,88.1,0.39,0.44,Stabil
GORONTALO,SD,2015,2016,85.72,88.98,3.26,3.8,Naik
GORONTALO,SD,2016,2017,88.98,87.14,-1.84,-2.07,Turun
GORONTALO,SD,2017,2018,87.14,88.24,1.1,1.26,Naik
GORONTALO,SD,2018,2019,88.24,89.04,0.8,0.91,Naik
GORONTALO,SD,2019,2020,89.04,91.9,2.86,3.21,Naik
GORONTALO,SD,2020,2021,91.9,93.44,1.54,1.68,Naik
GORONTALO,SD,2021,2022,93.44,95.12,1.68,1.8,Naik
GORONTALO,SD,2022,2023,95.12,93.69,-1.43,-1.5,Turun
GORONTALO,SMP,2015,2016,68.81,73.35,4.54,6.6,Naik
GORONTALO,SMP,2016,2017,73.35,73.62,0.27,0.37,Stabil
GORONTALO,SMP,2017,2018,73.62,77.41,3.79,5.15,Naik
GORONTALO,SMP,2018,2019,77.41,80.6,3.19,4.12,Naik
GORONTALO,SMP,2019,2020,80.6,80.1,-0.5,-0.62,Stabil
GORONTALO,SMP,2020,2021,80.1,81.22,1.12,1.4,Naik
GORONTALO,SMP,2021,2022,81.22,80.56,-0.66,-0.81,Turun
GORONTALO,SMP,2022,2023,80.56,83.71,3.15,3.91,Naik
GORONTALO,SMA,2015,2016,44.67,50.79,6.12,13.7,Naik
GORONTALO,SMA,2016,2017,50.79,55.3,4.51,8.88,Naik
GORONTALO,SMA,2017,2018,55.3,52.39,-2.91,-5.26,Turun
GORONTALO,SMA,2018,2019,52.39,50.87,-1.52,-2.9,Turun
GORONTALO,SMA,2019,2020,50.87,55.35,4.48,8.81,Naik
GORONTALO,SMA,2020,2021,55.35,53.73,-1.62,-2.93,Turun
GORONTALO,SMA,2021,2022,53.73,45.12,-8.61,-16.02,Turun
GORONTALO,SMA,2022,2023,45.12,46.19,1.07,2.37,Naik
JAMBI,SD,2015,2016,93.12,95.93,2.81,3.02,Naik
JAMBI,SD,2016,2017,95.93,95.65,-0.28,-0.29,Stabil
JAMBI,SD,2017,2018,95.65,94.62,-1.03,-1.08,Turun
JAMBI,SD,2018,2019,94.62,96.99,2.37,2.5,Naik
JAMBI,SD,2019,2020,96.99,95.34,-1.65,-1.7,Turun
JAMBI,SD,2020,2021,95.34,98.54,3.2,3.36,Naik
JAMBI,SD,2021,2022,98.54,97.62,-0.92,-0.93,Turun
JAMBI,SD,2022,2023,97.62,97.76,0.14,0.14,Stabil
JAMBI,SMP,2015,2016,78.04,79.86,1.82,2.33,Naik
JAMBI,SMP,2016,2017,79.86,84.9,5.04,6.31,Naik
JAMBI,SMP,2017,2018,84.9,83.29,-1.61,-1.9,Turun
JAMBI,SMP,2018,2019,83.29,84.4,1.11,1.33,Naik
JAMBI,SMP,2019,2020,84.4,86.31,1.91,2.26,Naik
JAMBI,SMP,2020,2021,86.31,89.0,2.69,3.12,Naik
JAMBI,SMP,2021,2022,89.0,86.57,-2.43,-2.73,Turun
JAMBI,SMP,2022,2023,86.57,89.35,2.78,3.21,Naik
JAMBI,SMA,2015,2016,49.05,60.5,11.45,23.34,Naik
JAMBI,SMA,2016,2017,60.5,58.27,-2.23,-3.69,Turun
JAMBI,SMA,2017,2018,58.27,66.06,7.79,13.37,Naik
JAMBI,SMA,2018,2019,66.06,56.87,-9.19,-13.91,Turun
JAMBI,SMA,2019,2020,56.87,63.66,6.79,11.94,Naik
JAMBI,SMA,2020,2021,63.66,64.51,0.85,1.34,Naik
JAMBI,SMA,2021,2022,64.51,65.85,1.34,2.08,Naik
JAMBI,SMA,2022,2023,65.85,66.62,0.77,1.17,Naik
JAWA BARAT,SD,2015,2016,92.42,93.75,1.33,1.44,Naik
JAWA BARAT,SD,2016,2017,93.75,96.97,3.22,3.43,Naik
JAWA BARAT,SD,2017,2018,96.97,97.08,0.11,0.11,Stabil
JAWA BARAT,SD,2018,2019,97.08,97.92,0.84,0.87,Naik
JAWA BARAT,SD,2019,2020,97.92,97.76,-0.16,-0.16,Stabil
JAWA BARAT,SD,2020,2021,97.76,98.45,0.69,0.71,Naik
JAWA BARAT,SD,2021,2022,98.45,99.08,0.63,0.64,Naik
JAWA BARAT,SD,2022,2023,99.08,99.09,0.01,0.01,Stabil
JAWA BARAT,SMP,2015,2016,79.09,84.24,5.15,6.51,Naik
JAWA BARAT,SMP,2016,2017,84.24,84.64,0.4,0.47,Stabil
JAWA BARAT,SMP,2017,2018,84.64,85.18,0.54,0.64,Naik
JAWA BARAT,SMP,2018,2019,85.18,85.53,0.35,0.41,Stabil
JAWA BARAT,SMP,2019,2020,85.53,88.17,2.64,3.09,Naik
JAWA BARAT,SMP,2020,2021,88.17,88.18,0.01,0.01,Stabil
JAWA BARAT,SMP,2021,2022,88.18,89.29,1.11,1.26,Naik
JAWA BARAT,SMP,2022,2023,89.29,91.42,2.13,2.39,Naik
JAWA BARAT,SMA,2015,2016,48.53,55.03,6.5,13.39,Naik
JAWA BARAT,SMA,2016,2017,55.03,48.32,-6.71,-12.19,Turun
JAWA BARAT,SMA,2017,2018,48.32,61.04,12.72,26.32,Naik
JAWA BARAT,SMA,2018,2019,61.04,57.46,-3.58,-5.87,Turun
JAWA BARAT,SMA,2019,2020,57.46,63.56,6.1,10.62,Naik
JAWA BARAT,SMA,2020,2021,63.56,64.89,1.33,2.09,Naik
JAWA BARAT,SMA,2021,2022,64.89,67.05,2.16,3.33,Naik
JAWA BARAT,SMA,2022,2023,67.05,66.47,-0.58,-0.87,Turun
JAWA TENGAH,SD,2015,2016,92.91,95.59,2.68,2.88,Naik
JAWA TENGAH,SD,2016,2017,95.59,96.25,0.66,0.69,Naik
JAWA TENGAH,SD,2017,2018,96.25,96.15,-0.1,-0.1,Stabil
JAWA TENGAH,SD,2018,2019,96.15,96.61,0.46,0.48,Stabil
JAWA TENGAH,SD,2019,2020,96.61,97.2,0.59,0.61,Naik
JAWA TENGAH,SD,2020,2021,97.2,98.06,0.86,0.88,Naik
JAWA TENGAH,SD,2021,2022,98.06,98.01,-0.05,-0.05,Stabil
JAWA TENGAH,SD,2022,2023,98.01,98.42,0.41,0.42,Stabil
JAWA TENGAH,SMP,2015,2016,78.96,85.93,6.97,8.83,Naik
JAWA TENGAH,SMP,2016,2017,85.93,87.24,1.31,1.52,Naik
JAWA TENGAH,SMP,2017,2018,87.24,86.9,-0.34,-0.39,Stabil
JAWA TENGAH,SMP,2018,2019,86.9,85.47,-1.43,-1.65,Turun
JAWA TENGAH,SMP,2019,2020,85.47,89.0,3.53,4.13,Naik
JAWA TENGAH,SMP,2020,2021,89.0,88.44,-0.56,-0.63,Turun
JAWA TENGAH,SMP,2021,2022,88.44,90.02,1.58,1.79,Naik
JAWA TENGAH,SMP,2022,2023,90.02,90.64,0.62,0.69,Naik
JAWA TENGAH,SMA,2015,2016,43.86,44.59,0.73,1.66,Naik
JAWA TENGAH,SMA,2016,2017,44.59,51.52,6.93,15.54,Naik
JAWA TENGAH,SMA,2017,2018,51.52,55.62,4.1,7.96,Naik
JAWA TENGAH,SMA,2018,2019,55.62,49.79,-5.83,-10.48,Turun
JAWA TENGAH,SMA,2019,2020,49.79,55.82,6.03,12.11,Naik
JAWA TENGAH,SMA,2020,2021,55.82,59.9,4.08,7.31,Naik
JAWA TENGAH,SMA,2021,2022,59.9,58.75,-1.15,-1.92,Turun
JAWA TENGAH,SMA,2022,2023,58.75,58.35,-0.4,-0.68,Stabil
JAWA TIMUR,SD,2015,2016,91.76,94.78,3.02,3.29,Naik
JAWA TIMUR,SD,2016,2017,94.78,96.1,1.32,1.39,Naik
JAWA TIMUR,SD,2017,2018,96.1,95.7,-0.4,-0.42,Stabil
JAWA TIMUR,SD,2018,2019,95.7,96.3,0.6,0.63,Naik
JAWA TIMUR,SD,2019,2020,96.3,96.81,0.51,0.53,Naik
JAWA TIMUR,SD,2020,2021,96.81,97.76,0.95,0.98,Naik
JAWA TIMUR,SD,2021,2022,97.76,98.71,0.95,0.97,Naik
JAWA TIMUR,SD,2022,2023,98.71,98.78,0.07,0.07,Stabil
JAWA TIMUR,SMP,2015,2016,80.98,84.7,3.72,4.59,Naik
JAWA TIMUR,SMP,2016,2017,84.7,86.2,1.5,1.77,Naik
JAWA TIMUR,SMP,2017,2018,86.2,86.04,-0.16,-0.19,Stabil
JAWA TIMUR,SMP,2018,2019,86.04,86.21,0.17,0.2,Stabil
JAWA TIMUR,SMP,2019,2020,86.21,89.98,3.77,4.37,Naik
JAWA TIMUR,SMP,2020,2021,89.98,90.3,0.32,0.36,Stabil
JAWA TIMUR,SMP,2021,2022,90.3,90.47,0.17,0.19,Stabil
JAWA TIMUR,SMP,2022,2023,90.47,90.74,0.27,0.3,Stabil
JAWA TIMUR,SMA,2015,2016,52.04,55.13,3.09,5.94,Naik
JAWA TIMUR,SMA,2016,2017,55.13,59.9,4.77,8.65,Naik
JAWA TIMUR,SMA,2017,2018,59.9,62.48,2.58,4.31,Naik
JAWA TIMUR,SMA,2018,2019,62.48,57.74,-4.74,-7.59,Turun
JAWA TIMUR,SMA,2019,2020,57.74,63.53,5.79,10.03,Naik
JAWA TIMUR,SMA,2020,2021,63.53,66.33,2.8,4.41,Naik
JAWA TIMUR,SMA,2021,2022,66.33,66.87,0.54,0.81,Naik
JAWA TIMUR,SMA,2022,2023,66.87,68.65,1.78,2.66,Naik
KALIMANTAN BARAT,SD,2015,2016,83.99,87.93,3.94,4.69,Naik
KALIMANTAN BARAT,SD,2016,2017,87.93,86.0,-1.93,-2.19,Turun
KALIMANTAN BARAT,SD,2017,2018,86.0,86.44,0.44,0.51,Stabil
KALIMANTAN BARAT,SD,2018,2019,86.44,88.23,1.79,2.07,Naik
KALIMANTAN BARAT,SD,2019,2020,88.23,91.79,3.56,4.03,Naik
KALIMANTAN BARAT,SD,2020,2021,91.79,94.29,2.5,2.72,Naik
KALIMANTAN BARAT,SD,2021,2022,94.29,95.13,0.84,0.89,Naik
KALIMANTAN BARAT,SD,2022,2023,95.13,95.33,0.2,0.21,Stabil
KALIMANTAN BARAT,SMP,2015,2016,63.41,72.66,9.25,14.59,Naik
KALIMANTAN BARAT,SMP,2016,2017,72.66,72.54,-0.12,-0.17,Stabil
KALIMANTAN BARAT,SMP,2017,2018,72.54,71.47,-1.07,-1.48,Turun
KALIMANTAN BARAT,SMP,2018,2019,71.47,72.78,1.31,1.83,Naik
KALIMANTAN BARAT,SMP,2019,2020,72.78,80.88,8.1,11.13,Naik
KALIMANTAN BARAT,SMP,2020,2021,80.88,79.65,-1.23,-1.52,Turun
KALIMANTAN BARAT,SMP,2021,2022,79.65,81.82,2.17,2.72,Naik
KALIMANTAN BARAT,SMP,2022,2023,81.82,81.56,-0.26,-0.32,Stabil
KALIMANTAN BARAT,SMA,2015,2016,35.69,35.69,0.0,0.0,Stabil
KALIMANTAN BARAT,SMA,2016,2017,35.69,42.7,7.01,19.64,Naik
KALIMANTAN BARAT,SMA,2017,2018,42.7,47.66,4.96,11.62,Naik
KALIMANTAN BARAT,SMA,2018,2019,47.66,49.29,1.63,3.42,Naik
KALIMANTAN BARAT,SMA,2019,2020,49.29,55.23,5.94,12.05,Naik
KALIMANTAN BARAT,SMA,2020,2021,55.23,54.27,-0.96,-1.74,Turun
KALIMANTAN BARAT,SMA,2021,2022,54.27,58.4,4.13,7.61,Naik
KALIMANTAN BARAT,SMA,2022,2023,58.4,55.58,-2.82,-4.83,Turun
KALIMANTAN SELATAN,SD,2015,2016,87.15,93.89,6.74,7.73,Naik
KALIMANTAN SELATAN,SD,2016,2017,93.89,92.49,-1.4,-1.49,Turun
KALIMANTAN SELATAN,SD,2017,2018,92.49,92.2,-0.29,-0.31,Stabil
KALIMANTAN SELATAN,SD,2018,2019,92.2,91.85,-0.35,-0.38,Stabil
KALIMANTAN SELATAN,SD,2019,2020,91.85,94.1,2.25,2.45,Naik
KALIMANTAN SELATAN,SD,2020,2021,94.1,95.67,1.57,1.67,Naik
KALIMANTAN SELATAN,SD,2021,2022,95.67,94.68,-0.99,-1.03,Turun
KALIMANTAN SELATAN,SD,2022,2023,94.68,95.99,1.31,1.38,Naik
KALIMANTAN SELATAN,SMP,2015,2016,72.89,77.25,4.36,5.98,Naik
KALIMANTAN SELATAN,SMP,2016,2017,77.25,77.11,-0.14,-0.18,Stabil
KALIMANTAN SELATAN,SMP,2017,2018,77.11,84.05,6.94,9.0,Naik
KALIMANTAN SELATAN,SMP,2018,2019,84.05,82.77,-1.28,-1.52,Turun
KALIMANTAN SELATAN,SMP,2019,2020,82.77,82.48,-0.29,-0.35,Stabil
KALIMANTAN SELATAN,SMP,2020,2021,82.48,84.06,1.58,1.92,Naik
KALIMANTAN SELATAN,SMP,2021,2022,84.06,87.95,3.89,4.63,Naik
KALIMANTAN SELATAN,SMP,2022,2023,87.95,88.19,0.24,0.27,Stabil
KALIMANTAN SELATAN,SMA,2015,2016,44.85,52.91,8.06,17.97,Naik
KALIMANTAN SELATAN,SMA,2016,2017,52.91,56.75,3.84,7.26,Naik
KALIMANTAN SELATAN,SMA,2017,2018,56.75,61.09,4.34,7.65,Naik
KALIMANTAN SELATAN,SMA,2018,2019,61.09,59.52,-1.57,-2.57,Turun
KALIMANTAN SELATAN,SMA,2019,2020,59.52,63.05,3.53,5.93,Naik
KALIMANTAN SELATAN,SMA,2020,2021,63.05,63.59,0.54,0.86,Naik
KALIMANTAN SELATAN,SMA,2021,2022,63.59,67.81,4.22,6.64,Naik
KALIMANTAN SELATAN,SMA,2022,2023,67.81,68.35,0.54,0.8,Naik
KALIMANTAN TENGAH,SD,2015,2016,93.18,93.75,0.57,0.61,Naik
KALIMANTAN TENGAH,SD,2016,2017,93.75,93.06,-0.69,-0.74,Turun
KALIMANTAN TENGAH,SD,2017,2018,93.06,93.33,0.27,0.29,Stabil
KALIMANTAN TENGAH,SD,2018,2019,93.33,94.66,1.33,1.43,Naik
KALIMANTAN TENGAH,SD,2019,2020,94.66,95.45,0.79,0.83,Naik
KALIMANTAN TENGAH,SD,2020,2021,95.45,97.45,2.0,2.1,Naik
KALIMANTAN TENGAH,SD,2021,2022,97.45,98.51,1.06,1.09,Naik
KALIMANTAN TENGAH,SD,2022,2023,98.51,97.47,-1.04,-1.06,Turun
KALIMANTAN TENGAH,SMP,2015,2016,72.59,80.64,8.05,11.09,Naik
KALIMANTAN TENGAH,SMP,2016,2017,80.64,76.84,-3.8,-4.71,Turun
KALIMANTAN TENGAH,SMP,2017,2018,76.84,79.87,3.03,3.94,Naik
KALIMANTAN TENGAH,SMP,2018,2019,79.87,81.01,1.14,1.43,Naik
KALIMANTAN TENGAH,SMP,2019,2020,81.01,84.83,3.82,4.72,Naik
KALIMANTAN TENGAH,SMP,2020,2021,84.83,89.76,4.93,5.81,Naik
KALIMANTAN TENGAH,SMP,2021,2022,89.76,87.79,-1.97,-2.19,Turun
KALIMANTAN TENGAH,SMP,2022,2023,87.79,88.92,1.13,1.29,Naik
KALIMANTAN TENGAH,SMA,2015,2016,47.28,52.42,5.14,10.87,Naik
KALIMANTAN TENGAH,SMA,2016,2017,52.42,56.48,4.06,7.75,Naik
KALIMANTAN TENGAH,SMA,2017,2018,56.48,53.47,-3.01,-5.33,Turun
KALIMANTAN TENGAH,SMA,2018,2019,53.47,50.01,-3.46,-6.47,Turun
KALIMANTAN TENGAH,SMA,2019,2020,50.01,60.77,10.76,21.52,Naik
KALIMANTAN TENGAH,SMA,2020,2021,60.77,61.04,0.27,0.44,Stabil
KALIMANTAN TENGAH,SMA,2021,2022,61.04,61.88,0.84,1.38,Naik
KALIMANTAN TENGAH,SMA,2022,2023,61.88,63.93,2.05,3.31,Naik
KALIMANTAN TIMUR,SD,2015,2016,94.65,98.16,3.51,3.71,Naik
KALIMANTAN TIMUR,SD,2016,2017,98.16,96.42,-1.74,-1.77,Turun
KALIMANTAN TIMUR,SD,2017,2018,96.42,95.32,-1.1,-1.14,Turun
KALIMANTAN TIMUR,SD,2018,2019,95.32,96.07,0.75,0.79,Naik
KALIMANTAN TIMUR,SD,2019,2020,96.07,95.84,-0.23,-0.24,Stabil
KALIMANTAN TIMUR,SD,2020,2021,95.84,96.82,0.98,1.02,Naik
KALIMANTAN TIMUR,SD,2021,2022,96.82,99.18,2.36,2.44,Naik
KALIMANTAN TIMUR,SD,2022,2023,99.18,97.88,-1.3,-1.31,Turun
KALIMANTAN TIMUR,SMP,2015,2016,85.13,86.7,1.57,1.84,Naik
KALIMANTAN TIMUR,SMP,2016,2017,86.7,88.31,1.61,1.86,Naik
KALIMANTAN TIMUR,SMP,2017,2018,88.31,89.14,0.83,0.94,Naik
KALIMANTAN TIMUR,SMP,2018,2019,89.14,86.98,-2.16,-2.42,Turun
